04420,442 S Kaley
04460,446 S Kaley
07330,733 S Kaley
12162,1216 N Kaley
12440,1244 N Kaley
13261,1326 N Kaley
24240,2424 Keller
16090,1609 Kemble
16110,1611 Kemble
16291,1629 Kemble
18022,1802 Kemble
18061,1806 Kemble
16132,1613 Kendall
16180,1618 Kendall
16200,1620 Kendall
17080,1708 Kendall
17120,1712 Kendall
17200,1720 Kendall
17240,1724 Kendall
18120,1812 Kendall
18201,1820 Kendall
18220,1822 Kendall
19120,1912 Kendall
20030,2003 Kendall
20190,2019 Kendall
21080,2108 Kendall
21130,2113 Kendall
21150,2115 Kendall
01162,116 N Kenmore
05010,501 S Kenmore
05052,505 S Kenmore
07191,719 S Kenmore
07231,723 S Kenmore
15060,1506 Kenmore
03143,314 S Kentucky
05120,512 S Kentucky
08112,811 S Kentucky
11331,1133 Kentucky
21060,2106 Kenwood
21261,2126 Kenwood
22090,2209 Kenwood
25250,2525 Kenwood
12050,1205 King
13292,1329 King
13373,1337 King
12420,1242 Kinyon
12500,1250 Kinyon
04430,443 S Kosciuszko
03340,334 Kunstman
05060,506 Lafayette
20140,2014 S Lafayette
22140,2214 S Lafayette
01250,125 S Lake
02051,205 S Lake
07131,713 S Lake
07331,733 S Lake
07380,738 S Lake
08143,814 S Lake
08302,830 S Lake
03070,307 LaMonte Terrace
02291,229 LaPorte
04461,446 LaPorte
04500,450 LaPorte
05021,502 LaPorte
05181,518 LaPorte
06190,619 LaPorte
06241,624 LaPorte
06480,648 LaPorte
06560,656 LaPorte
07222,722 LaPorte
07261,726 LaPorte
05011,501 W LaSalle
09121,912 LaSalle
09181,918 LaSalle
09380,938 LaSalle
10381,1038 LaSalle Ct
10423,1042 LaSalle Ct
02221,222 Laurel
03010,301 Laurel
06540,654 Lawndale
06620,662 Lawndale
06730,673 Lawndale
07410,741 Lawndale
07491,749 Lawndale
08131,813 Lawndale
08163,816 Lawndale
08262,826 Lawndale
08292,829 Lawndale
09023,902 Lawndale
09100,910 Lawndale
09131,913 Lawndale
09172,917 Lawndale
09213,921 Lawndale
25130,2513 Lawton
25170,2517 Lawton
17440,1744 Leer
19310,1931 Leer
20170,2017 Leer
04250,425 Leland
05172,517 Leland
06071,607 Leland
